sitio,trilha,ponto,quadrante,dist,cap,q,m,e,rep,onça
CT-RBG-2-84,1,40,3,0,0,,,,,
CT-RBG-2-84,1,40,4,500,52,,,,,
CT-RBG-2-84,1,30,1,365,59.5,,,,,
CT-RBG-2-84,1,30,2,487,63,,,,,
CT-RBG-2-84,1,30,3,317,37,,,,,
CT-RBG-2-84,1,30,4,500,52,,,,,
CT-RBG-2-84,1,20,1,370,38,,,,,
CT-RBG-2-84,1,20,2,179,45.5,,,,,
CT-RBG-2-84,1,20,3,515,46.5,,,,,
CT-RBG-2-84,1,20,4,351,36.5,,,,,
CT-RBG-2-84,1,10,1,715,49,,,,,
CT-RBG-2-84,1,10,2,339,31.5,,,,,
CT-RBG-2-84,1,10,3,725,46,,,,,
CT-RBG-2-84,1,10,4,800,91,,,,,
CT-RBG-2-84,1,50,1,246,47.5,,,,,
CT-RBG-2-84,2,50,2,140,61.5,,,,,
CT-RBG-2-84,2,50,3,254,38,,,,,
CT-RBG-2-84,2,50,4,152,57.5,,,,,
CT-RBG-2-84,2,40,1,262,50,,,,,
CT-RBG-2-84,2,40,2,271,40,,,,,
CT-RBG-2-84,2,40,3,190,95.5,,,,,
CT-RBG-2-84,2,40,4,366,67.5,,,,,
CT-RBG-2-84,2,30,1,112,39.5,,,,,
CT-RBG-2-84,2,30,2,650,73,,,,,
CT-RBG-2-84,2,30,3,333,69.5,,,,,
CT-RBG-2-84,2,30,4,205,31.5,,,,,
CT-RBG-2-84,2,20,1,197,32,,,,,
CT-RBG-2-84,2,20,2,550,49,,,,,
CT-RBG-2-84,2,20,3,138,38.5,,,,,
CT-RBG-2-84,2,20,4,500,81,,,,,
CT-RBG-2-84,2,10,1,235,39,,,,,
CT-RBG-2-84,2,10,2,460,82.5,,,,,marca onça
CT-RBG-2-84,2,10,3,363,45,,,,,
CT-RBG-2-84,2,10,4,125,84.5,,,,,
CT-RBG-2-84,3,50,1,361,71.5,,,,,
CT-RBG-2-84,3,50,2,429,37,,,,,
CT-RBG-2-84,3,50,3,632,41.5,,,,,
CT-RBG-2-84,3,50,4,0,0,,,,,
CT-RBG-2-84,3,40,1,510,42,,,,,
CT-RBG-2-84,3,40,2,192,40.5,,,,,
CT-RBG-2-84,3,40,3,0,0,,,,,
CT-RBG-2-84,3,40,4,800,50,,,,,
CT-RBG-2-84,3,30,1,540,62.5,,,,,
CT-RBG-2-84,3,30,2,466,92.5,,,,,
CT-RBG-2-84,3,30,3,393,77.5,,,,,
CT-RBG-2-84,3,30,4,342,42.5,,,,,
CT-RBG-2-84,3,20,1,387,54.5,,,,,
CT-RBG-2-84,3,20,2,197,64,,,,,
CT-RBG-2-84,3,20,3,434,41.5,,,,,
CT-RBG-2-84,3,20,4,515,34,,,,,
CT-RBG-2-84,3,10,1,350,61.5,,,,,
CT-RBG-2-84,3,10,2,86,37,,,,,
CT-RBG-2-84,3,10,3,68,31.5,,,,,
CT-RBG-2-84,3,10,4,300,100,,,,,
CT-RBG-2-64,1,50,1,0,0,,,,,
CT-RBG-2-64,1,50,2,269,33,,,,,
CT-RBG-2-64,1,50,3,483,38,,,,,
CT-RBG-2-64,1,50,4,0,0,,,,,
CT-RBG-2-64,1,40,1,700,35,,,,,
CT-RBG-2-64,1,40,2,357,33.5,,,,,
CT-RBG-2-64,1,40,3,0,0,,,,,
CT-RBG-2-64,1,40,4,600,33.5,,,,,
CT-RBG-2-64,1,30,1,750,32.5,,,,,
CT-RBG-2-64,1,30,2,350,35,,,,rep p40 q1,
CT-RBG-2-64,1,30,3,400,33.5,,,,rep p40 q4,
CT-RBG-2-64,1,30,4,0,0,,,,,
CT-RBG-2-64,1,20,1,760,41,,,,,
CT-RBG-2-64,1,20,2,693,34.5,,,,,
CT-RBG-2-64,1,20,3,0,0,,,,,
CT-RBG-2-64,1,20,4,680,35,,,,,
CT-RBG-2-64,1,10,1,550,39,,,,,
CT-RBG-2-64,1,10,2,0,0,,,,,
CT-RBG-2-64,1,10,3,0,0,,,,,
CT-RBG-2-64,1,10,4,490,35,,,,,
CT-RBG-2-64,2,50,1,880,39.5,,,1,,
CT-RBG-2-64,2,50,2,0,0,,,,,
CT-RBG-2-64,2,50,3,540,52.5,,,,,
CT-RBG-2-64,2,50,4,560,41,,,,,
CT-RBG-2-64,2,40,1,0,0,,,,,
CT-RBG-2-64,2,40,2,0,0,,,,,
CT-RBG-2-64,2,40,3,490,36,,,,,
CT-RBG-2-64,2,40,4,0,0,,,,,
CT-RBG-2-64,2,30,1,0,0,,,,,
CT-RBG-2-64,2,30,2,0,0,,,,,
CT-RBG-2-64,2,30,3,0,0,,,,,
CT-RBG-2-64,2,30,4,0,0,,,,,
CT-RBG-2-64,2,20,1,0,0,,,,,
CT-RBG-2-64,2,20,2,0,0,,,,,
CT-RBG-2-64,2,20,3,390,36.5,,,,,
CT-RBG-2-64,2,20,4,0,0,,,,,
CT-RBG-2-64,2,10,1,430,33,,,,,
CT-RBG-2-64,2,10,2,0,0,,,,,
CT-RBG-2-64,2,10,3,584,40.5,,,,,
CT-RBG-2-64,2,10,4,980,43,,,,,
CT-RBG-2-64,3,50,1,0,0,,,,,
CT-RBG-2-64,3,50,2,710,95,,,,,
CT-RBG-2-64,3,50,3,475,45,,,,,
CT-RBG-2-64,3,50,4,0,0,,,,,
CT-RBG-2-64,3,40,1,736,41.5,,,,,
CT-RBG-2-64,3,40,2,0,0,,,,,
CT-RBG-2-64,3,40,3,310,57,,,1,,
CT-RBG-2-64,3,40,4,0,0,,,,,
CT-RBG-2-64,3,30,1,0,0,,,,,
CT-RBG-2-64,3,30,2,0,0,,,,,
CT-RBG-2-64,3,30,3,0,0,,,,,
CT-RBG-2-64,3,30,4,0,0,,,,,
CT-RBG-2-64,3,20,1,0,0,,,,,
CT-RBG-2-64,3,20,2,0,0,,,,,
CT-RBG-2-64,3,20,3,0,0,,,,,
CT-RBG-2-64,3,20,4,500,36,,,,,
CT-RBG-2-64,3,10,1,194,33.5,,,,,
CT-RBG-2-64,3,10,2,0,0,,,,,
CT-RBG-2-64,3,10,3,470,32,,,,,
CT-RBG-2-64,3,10,4,0,0,,,,,
CT-RBG-2-81,1,50,1,197,242,,,,,
CT-RBG-2-81,1,50,2,580,56.5,,,,,
CT-RBG-2-81,1,50,3,475,91,,,,,
CT-RBG-2-81,1,50,4,500,157.5,,,,,
CT-RBG-2-81,1,40,1,570,113,,,,,
CT-RBG-2-81,1,40,2,312,32,,,,rep p40 q4,
CT-RBG-2-81,1,40,3,,,,,,,
CT-RBG-2-81,1,40,4,468,52,,,,,
CT-RBG-2-81,1,30,1,640,104,,,,,
CT-RBG-2-81,1,30,2,302,56,,,,,
CT-RBG-2-81,1,30,3,391,37,,,,,
CT-RBG-2-81,1,30,4,417,108,,,,,
CT-RBG-2-81,1,20,1,294,95.5,,,,,
CT-RBG-2-81,1,20,2,,,,,,rep p30 q1,
CT-RBG-2-81,1,20,3,186,53,,,,,
CT-RBG-2-81,1,20,4,730,60,,,,,
CT-RBG-2-81,1,10,1,236,57,,,,,
CT-RBG-2-81,1,10,2,900,42,,,,,
CT-RBG-2-81,1,10,3,423,54,,,,,
CT-RBG-2-81,1,10,4,303,93,,,,,
CT-RBG-2-81,1,50,1,395,130,,,,,
CT-RBG-2-81,2,50,2,450,75,,,,,
CT-RBG-2-81,2,50,3,223,179,,,,,
CT-RBG-2-81,2,50,4,340,37,,,,,
CT-RBG-2-81,2,40,1,211,114,,,,,
CT-RBG-2-81,2,40,2,570,44,,,,,
CT-RBG-2-81,2,40,3,560,47,,,,,
CT-RBG-2-81,2,40,4,680,112,,1,,,
CT-RBG-2-81,2,30,1,638,66,,,,,
CT-RBG-2-81,2,30,2,123,136,,,,,
CT-RBG-2-81,2,30,3,612,199,,,,,
CT-RBG-2-81,2,30,4,320,497,,,,,
CT-RBG-2-81,2,20,1,542,100,,,,,
CT-RBG-2-81,2,20,2,650,36,,,,,
CT-RBG-2-81,2,20,3,201,85,,,,,
CT-RBG-2-81,2,20,4,430,132.5,,,,,
CT-RBG-2-81,2,10,1,326,55,,,,,
CT-RBG-2-81,2,10,2,561,40.5,,,,,
CT-RBG-2-81,2,10,3,,,,,,rep p20 q4,
CT-RBG-2-81,2,10,4,374,81,,,,,
CT-RBG-2-81,3,50,1,491,40,,,,,
CT-RBG-2-81,3,50,2,61,38,,1,,,
CT-RBG-2-81,3,50,3,222,40,,,,,
CT-RBG-2-81,3,50,4,545,100,,,,,
CT-RBG-2-81,3,40,1,206,93.5,,1,,,
CT-RBG-2-81,3,40,2,,,,,,rep p50 q1,
CT-RBG-2-81,3,40,3,,,,,,rep p50 q4,
CT-RBG-2-81,3,40,4,600,41,,,,,
CT-RBG-2-81,3,30,1,306,78,,,,,
CT-RBG-2-81,3,30,2,400,145.5,,,,,
CT-RBG-2-81,3,30,3,370,65,,,,,
CT-RBG-2-81,3,30,4,47,59,,,,,
CT-RBG-2-81,3,20,1,500,42.5,,,,,
CT-RBG-2-81,3,20,2,0,0,,,,,
CT-RBG-2-81,3,20,3,344,47,,,,,
CT-RBG-2-81,3,20,4,366,34,,,,,
CT-RBG-2-81,3,10,1,812,107,,,,,
CT-RBG-2-81,3,10,2,347,97,,,,,
CT-RBG-2-81,3,10,3,355,43,,,,,
CT-RBG-2-81,3,10,4,322,37,,,,,
CT-RBG-1-14,1,50,1,470,61.3,,,,,
CT-RBG-1-14,1,50,2,440,58.3,,,,,
CT-RBG-1-14,1,50,3,160,40,,,,,
CT-RBG-1-14,1,50,4,120,63.4,,,,,
CT-RBG-1-14,1,40,1,195,33.2,,,,,
CT-RBG-1-14,1,40,2,530,35.3,,,,,
CT-RBG-1-14,1,40,3,380,53.1,,,,,
CT-RBG-1-14,1,40,4,620,48.8,,,,,
CT-RBG-1-14,1,30,1,450,84,,,1,,
CT-RBG-1-14,1,30,2,340,66,,,,,
CT-RBG-1-14,1,30,3,560,33.6,,,1,,
CT-RBG-1-14,1,30,4,340,72.1,,,1,,
CT-RBG-1-14,1,20,1,560,35.7,,,,,
CT-RBG-1-14,1,20,2,130,37.9,,,,,
CT-RBG-1-14,1,20,3,330,32.5,,,,,
CT-RBG-1-14,1,20,4,306,30.7,,1,,,
CT-RBG-1-14,1,10,1,270,34.5,,,,,
CT-RBG-1-14,1,10,2,650,30.5,,,,,
CT-RBG-1-14,1,10,3,285,39.8,,,,,
CT-RBG-1-14,1,10,4,270,58,,,1,,
CT-RBG-1-14,1,50,1,410,53.2,,,,,
CT-RBG-1-14,2,50,2,430,35,,,,,
CT-RBG-1-14,2,50,3,0,0,,,,,
CT-RBG-1-14,2,50,4,320,36.3,,,,,
CT-RBG-1-14,2,40,1,120,51.2,,,,,
CT-RBG-1-14,2,40,2,275,31.9,,,,,
CT-RBG-1-14,2,40,3,220,39.5,,,,,
CT-RBG-1-14,2,40,4,500,54.6,,,,,
CT-RBG-1-14,2,30,1,240,40.8,,,,,
CT-RBG-1-14,2,30,2,130,56,,,,,
CT-RBG-1-14,2,30,3,135,42.4,,,,,
CT-RBG-1-14,2,30,4,0,0,,,,,
CT-RBG-1-14,2,20,1,308,115,,,,,
CT-RBG-1-14,2,20,2,345,33,,,,,
CT-RBG-1-14,2,20,3,80,66.9,,,,,
CT-RBG-1-14,2,20,4,240,137.9,,,,,
CT-RBG-1-14,2,10,1,210,42.9,,,,,
CT-RBG-1-14,2,10,2,140,33.1,,,,,
CT-RBG-1-14,2,10,3,170,47.3,,,,,
